COMMON_NAME,SECONDARY_NAME,OTHER_NAMES,CATEGORY,OCCUPANCY,CORPORATION,POPULATION_ESTIMATE,LOCAL_GOVERNMENT_AUTHORITY,LOCALITY,REGIONAL_DEVELOPMENT_COMMISSION,ABS_REMOTENESS_2011,Australian Indigenious Language nfd,Arnhem Land and Daly River Region Languages,Yolngu Matha,Cape York Peninsula Languages,Torres Strait Island Languages,Northern Desert Fringe Area Languages,Arandic,Western Desert Languages,Kimberley Area Languages,Other Australian Indigenous Languages,Proportion 1,Proportion 2,Proportion 3,Proportion 4,Proportion 5,Proportion 6,Proportion 7,Proportion 8,Proportion 9,Proportion 10
Gunburr,,,Remote Aboriginal Community,Seasonal,GUNBURR ABORIGINAL CORPORATION,0,Broome,Dampier Peninsula,Kimberley,Very Remote,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Gurrbalgun,Pender Bay,Gurrbalgun Urrma,Remote Aboriginal Community,Permanent,Gurrbalgun Aboriginal Corporation,17,Broome,Dampier Peninsula,Kimberley,Very Remote,0,0,0,0,0,0,0,0,17,0,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%
Honeymoon Beach,French Family Group,,Remote Aboriginal Community,Permanent,French Family Aboriginal Corporation,17,Wyndham-East Kimberley,Drysdale River,Kimberley,Very Remote,0,0,0,0,0,0,0,0,17,0,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%
Ilkurlka,,Ilkulka,Remote Aboriginal Community,Seasonal,Paupiyala Tjarutja Aboriginal Corporation,0,Laverton,Beadell,Goldfields - Esperance,Very Remote,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Embalgun,,"Embulgun, Imbalgun, Imbulgun",Remote Aboriginal Community,Permanent,Embalgun Aboriginal Corporation,29,Broome,Dampier Peninsula,Kimberley,Very Remote,0,0,0,0,0,0,0,0,29,0,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%
Imintji,,"Immintji,",Remote Aboriginal Community,Permanent,Imintji Aboriginal Corporation,45,Derby-West Kimberley,King Leopold Ranges,Kimberley,Very Remote,0,0,0,0,0,0,0,0,0,45,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%
Innawonga,Bellary Springs,Bellary,Remote Aboriginal Community,Permanent,Innawonga Aboriginal Corporation,50,Ashburton,Rocklea,Pilbara,Very Remote,0,0,0,0,0,0,0,50,0,0,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%
Irrungadji,Nullagine Town Reserve,Yirrankadji,Town Based Community or Reserve,Permanent,Irrungadji Group Association Inc.,86,East Pilbara,Nullagine,Pilbara,Very Remote,0,0,0,0,0,0,0,90,0,0,0%,0%,0%,0%,0%,0%,0%,105%,0%,0%
Irrunytju,Wingellina,Irrunuytju,Remote Aboriginal Community,Permanent,Irrunytju Community Incorporated,179,Ngaanyatjarraku,Ngaanyatjarra-Giles,Goldfields - Esperance,Very Remote,8,0,0,0,0,0,0,154,0,0,4%,0%,0%,0%,0%,0%,0%,86%,0%,0%
Jabir Jabir,Rock Hole,,Remote Aboriginal Community,Permanent,Jabir Jabir Aboriginal Corporation,6,Broome,Dampier Peninsula,Kimberley,Very Remote,0,0,0,0,0,0,0,0,6,0,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%
Janterriji,Dolly Hole,Koomie,Remote Aboriginal Community,Permanent,Janterrji Aboriginal Corporation,6,Halls Creek,Ord River,Kimberley,Very Remote,0,0,0,0,0,6,0,0,0,0,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%
Jilariya,,,Remote Aboriginal Community,Permanent,Jilariya Aboriginal Corporation,5,Halls Creek,Mueller Ranges,Kimberley,Very Remote,0,0,0,0,0,5,0,0,0,0,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%
Jarlmadangah Burru,Mount Anderson Station,"Jarlmadanga, Jarlmadangah",Remote Aboriginal Community,Permanent,Jarlmadangah Burru Aboriginal Corporation,87,Derby-West Kimberley,Camballin,Kimberley,Very Remote,0,0,0,0,0,0,0,0,30,38,0%,0%,0%,0%,0%,0%,0%,0%,34%,44%
Mudjarrl,,,Remote Aboriginal Community,Permanent,Mudjarrl Aboriginal Corporation,5,Broome,Dampier Peninsula,Kimberley,Very Remote,0,0,0,0,0,0,0,0,5,0,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%
